a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Med,Jan 13,Anjimile,Like You Really Mean It,Single,Alternative,,,4AD,Beggars,spotify:album:1GeOILxFpOsHpJ6bcuWkdP,GBAFL2500170,1860276153,191400090873,"El cantautor indie Anjimile anuncia su próximo álbum You’re Free to Go, que se lanzará el 13 de marzo, y lo presenta con el sencillo “Like You Really Mean It”, una canción de amor directa y luminosa con guiños al pop, guitarras eléctricas enérgicas y líneas de bajo cálidas y propulsivas. El álbum se enfoca en la autoexpresión y la sanación interior auténtica, inspirado en el propio camino personal del artista. Producido por Brad Cook (Waxahatchee, Mavis Staples), cuenta con la participación de músicos de Hippo Campus, Bon Iver e Iron & Wine.","Indie singer-songwriter Anjimile announces his forthcoming LP You’re Free to Go (out Mar 13) w/ “Like You Really Mean It” — a pop-leaning, unapologetic love song that blooms in hip-swaying electric guitar solos & fuzzy, propulsive basslines; introduces LP’s intimate focus on self-expression & authentic inner healing, inspired by Jimi’s own journey. Produced by Brad Cook (Waxahatchee/Mavis Staples) ft members of Hippo Campus, Bon Iver, Iron & Wine. “A fully formed, confident voice”, The Observer.","https://www.promojukebox.com/PEMDL65233160-XD78X2E3DVPD336P-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,Med,Jan 13,The Sophs,GOLDSTAR,Single,alternative,,,Rough Trade,Beggars,spotify:track:3KQ3852yZqReDT9dbcbSU2,GBCVZ2500137,1852541620,191402059953,"Situada en el cruce entre las tradiciones del jazz panlatino y el emo rock de comienzos de los años 2000, con letras que suenan como alguien sacudiendo el puño al cielo y gritando “¿por qué a mí?”, GOLDSTAR equilibra profundidad conceptual y ambición sonora de forma inmediata y revitalizante, acompañando el anuncio del álbum debut de The Sophs, que se lanza este marzo, previo a su paso por SXSW, Primavera Sound, Roskilde y Pohoda, y a una extensa gira por Estados Unidos, Reino Unido y Europa durante marzo, abril y mayo.","Straddling the line between pan-Latin jazz traditions & emo rock of the turn of the century, w/ lyrics that amount to someone shaking their fist at the heavens & yelling “Why me?!,” GOLDSTAR balances conceptual depth w/ sonic ambition in a way that lands as nothing short of a shot in the arm. The single accompanies the announce of The Sophs debut album - released this March, ahead of SXSW, Primavera Sound, Roskilde, Pohoda + USA, UK & EU tours throughout March, April and May.","https://www.promojukebox.com/PEMDL13429667-85SL8SGGD5FNB3E4-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,Med,Jan 13,Converge,We Were Never The Same,Single,"Alternative, Metal",Feb 13,,Epitaph,,spotify:track:7z37xqq3y94KyVl7VWB88x,USEP42542010,1848413292,45778813551,"Converge regresa con We Were Never the Same, de su próximo álbum, Love Is Not Enough, que saldrá a la venta el 13 de febrero. Así, la banda que borró los generos del metal alternativo y el hardcore para siempre esta aquí de nuevo para su esperado regreso. La canción es un ajuste de cuentas crudo y lúcido con el dolor, donde la pérdida despoja a la vida de sus verdades. Captura el dolor de la conexión perdida, la pregunta de por qué lloramos más de lo que apreciamos. Se mueve con el propósito y la furia característicos de la banda, un recordatorio de que, en un mundo a presión, la empatía requiere esfuerzo y la música pesada nos ayuda a afrontarlo. ","Converge returns with “We Were Never the Same,” from their upcoming album, Love Is Not Enough, which will be released on February 13. So, the band that erased the genres of alternative metal and hardcore forever is back again for their highly anticipated return. The song is a raw and lucid reckoning with pain, where loss strips life of its truths. It captures the pain of lost connection, the question of why we mourn more than we cherish. It moves with the band's characteristic purpose and fury, a reminder that in a pressurized world, empathy requires effort, and heavy music helps us cope. ",https://epita.ph/44M4MZ9,,,,
,High,Jan 14,Danny L Harle,Raft In The Sea (feat. Julia Michaels) ,Single,Alternative,Feb 13,,XL Recordings,Beggars,spotify:track:35pNS21PF8hmRPXwQHxyJ1,GBBKS2500597,1857939239,191404164754,"Danny L Harle sigue reuniendo las ""piedras del infinito"" de las estrellas pop de la nueva generación para su álbum, y en su más reciente tema, ""Raft In The Sea"", se sumerge de lleno en un eufórico Euro-trance. Envuelve la voz de la cantante nominada al GRAMMY, Julia Michaels, con sintetizadores a tope, bombos con ritmo de latido y riffs de piano juguetones. El resultado es una oleada de emoción neón totalmente irresistible.","Danny L Harle continues assembling the infinity stones of new gen popstars for his album as he dives headfirst into euphoric Euro-trance on Raft In The Sea, surrounding GRAMMY-nominated songstress Julia Michaels’ voice with surging synths, heartbeat kicks, and playful piano riffs. The result is a rush of irresistible neon emotion. It comes just ahead of the London premiere of Danny’s incredible “apocalyptic boiler room” album film shot in an abandoned sea fort, and his headline at Outernet. ","https://www.promojukebox.com/PEMDL75899091-WXG6FKWFG6LGTW64-imeldahehir%40beggars.com,imelda.hehir.xlus1",,,,
,High,Jan 14,Kim Gordon,NOT TODAY,Single,"Rock, Alternative",Mar 13,,Matador,Beggars,spotify:track:1tXniZMdXRV8FyUZHN51eS,USMTD2500276,1859967740,191401000000,"El nuevo álbum de Kim Gordon, PLAY ME, es su tercer disco y llega después de The Collective de 2024, un trabajo nominado dos veces al Grammy. Es un álbum más directo y claro, con sonidos más melódicos y un ritmo constante influenciado por el krautrock. El primer single, “NOT TODAY”, muestra bien esta etapa con guitarras superpuestas, un beat firme, sintetizadores suaves y la voz inconfundible y casi susurrada de Gordon.","Kim Gordon's third album PLAY ME, the follow-up to 2024’s Justin Raisen-produced, two-time Grammy-nominated The Collective, is distilled and immediate, expanding Gordon’s sonic palette to include more melodic beats & the motorik drive of krautrock. First single ""NOT TODAY,"" crystalizes this refined approach with its hazy atmospherics of layed guitar noise, a tight driving drum beat, silky synths and Gordon’s iconic, breathy vocals. ","https://www.promojukebox.com/PEMDL34583814-CD5Z4F4NX6CEFGMB-imeldahehir%40beggars.com,imelda.hehir.mat1",,,,
,Med,Jan 14,Asgeir,Against The Current,Single,Alternative,Feb 13,Julia,OLI records,,spotify:album:680Q8QjaLVuXs6MO9xLVJY,GBBTF2500026,1834555455,5016958109035,"Ásgeir lanza el single Against the Current el 14 de enero como adelanto de su nuevo álbum Julia, que sale el 13 de febrero, un disco en el que por primera vez escribe todas las letras solo y reflexiona sobre su pasado, el cambio personal y el futuro, con un sonido folk pop más directo y sencillo, centrado en la voz y la melodía, y que llegará acompañado de una gira por Reino Unido y Europa en primavera.",,https://s.disco.ac/voalqanjadjh,,,,
men,Med,Jan 14,Charlotte Day Wilson,Lean (ft. Saya Gray),Single,r&b,,,XL Recordings,Beggars,spotify:track:2S5gnw0IFfABbzxlDyjlGG,GBBKS2500699,1862829540,191404165133,"Charlotte Day Wilson comparte su primer sencillo de 2026, 'Lean'. Otra colaboración con su compatriota canadiense Saya Gray, el sencillo las ve chocar en un corte de soul elegante y magnético, con baterías arrastradas de UK garage con tendencia a IDM, que se combinan con la voz ahumada característica de CDW y la participación fluida de Saya, impulsando a CDW a refinar aún más su marca de pop electrónico y soulful.","Charlotte Day Wilson shares her first single of 2026, ‘Lean’. Another collaboration with fellow Canadian Saya Gray, the single sees them collide on a sleek & magnetic soul cut, with shuffling IDM-leaning via UK garage drums, that combine with CDW’s signature smoky vocals, and Saya’s effortless feature, pushing CDW further into refining her brand of electronic-soulful pop.","https://www.promojukebox.com/PEMDL52066143-BHC6QAGCQ44GZXZW-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
,Rare,Jan 15,15 15,Queen's Goodbye,Single,alternative,Mar 6,,S76,Beggars,spotify:track:3KR9sm0yhOycWo43z2N4KV,GBBKS2500632,1858554528,191404654750,"Queen's Goodbye se aleja del ruido del carnaval hacia aguas tranquilas. Cantada por Julia Dell Angelo, cansada, reflexiva y en paz. Una tierna balada de retirada y renovación, su quietud se siente a la vez inquietante y redentora: un adiós susurrado a las olas. Cubierto por Crack, Dazed y Pitchfork, con apoyo continuo de Jamz Supernova y Mary Anne Hobbs de BBC Radio 1.","Queen’s Goodbye drifts away from the carnival’s noise toward quiet waters. Sung by Julia Dell Angelo, weary, reflective and at peace. A tender ballad of withdrawal and renewal, its stillness feels both haunting and redemptive - a farewell whispered to the waves. Covered by Crack, Dazed, and Pitchfork, with continued support from BBC Radio 1’s Jamz Supernova & Mary Anne Hobbs.","https://www.promojukebox.com/PEMDL23330075-2LELWSYUHY7RPEEF-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
EX MEX,Med,Jan 15,Daughter,Not Enough,Single,Alternative,,,4AD,Beggars,spotify:album:4iPdqqlQoDwpsarVVgGmHu,GBAFL2500778,1862840501,191400091443,"Celebrando los 10 años de Not To Disappear —“implacable e inesperado” (The Guardian)—, Daughter comparte Not Enough, escrita durante las sesiones originales en el estudio Greenpoint de Nicolas Vernhes y grabada en 2025 en el Total Refreshment Centre de Londres. Con más de mil millones de reproducciones en su catálogo, la canción muestra a Elena Tonra en su faceta más vulnerable, con letras demoledoras y una intensidad post-rock que crece hasta un clímax desgarrador. Una banda que sigue inspirando a toda una generación sensible.","Celebrating 10 years of ’Not To Disappear’ - ""unflinching and unexpected” (The Guardian)” - Daughter share ’Not Enough’, written during the original sessions at Nicolas Vernhes’ (Deerhunter, Animal Collective) Greenpoint studio, and recorded in 2025 at Total Refreshment Centre, London. w/ over 1bn+ streams across the catalogue, it finds songwriter Elena Tonra at her most vulnerable and affecting, crushing lyrics and post-rock dramatics drawing to a heart-rending crescendo. A band continuing to inspire a generation of sensitivity, giving voice to an ever-growing young audience.","https://www.promojukebox.com/PEMDL56054279-AT3M8U4W8UV9PSSZ-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,Med,Jan 15,KAVARI,IRON VEINS,Single,alternative,,,XL Recordings,Beggars,spotify:track:5O3cUdvbFgrYauB9yrEFEr,GBBKS2500570,1852244030,191404162743,"KAVARI debuta en XL Recordings en su icónica serie 'house bag' con ‘IRON VEINS’. Del próximo EP ‘PLAGUE MUSIC’, la productora con sede en Glasgow es conocida por su producción electrónica oscura e industrial, explorando influencias de drum n bass, dubstep y noise. Es venerada como una de las principales figuras de la escena de la música electrónica underground actual del Reino Unido, y su trabajo ha recibido el apoyo de Aphex Twin, Hudson Mohawke, Two Shell, Mura Masa y más.","KAVARI debuts on XL Recordings on their iconic house bag series with ‘IRON VEINS’. From the forthcoming EP ‘PLAGUE MUSIC’, the Glasgow-based producer is known for her dark, industrial electronic production, exploring drum n bass, dubstep and noise influences. She is revered as one of the main figures of the current UK underground electronic music scene, with her work receiving support from Aphex Twin, Hudson Mohawke, Two Shell, Mura Masa, and more.","https://www.promojukebox.com/PEMDL11371624-GC3G4CHHASR2J7VG-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
,High,Jan 16,Siloé,Quédate esta noche,Single,alternative,,,,,spotify:track:2dfay0fjY2Lgeof4GUChOg,QZW9L2566989,1860064296,789556675329,"""QUÉDATE ESTA NOCHE"" es el nuevo single de la banda vallisoletana Siloé. Después del éxito de su último álbum ""SANTA TRINIDAD” (ya disco de oro) por el que recibió grandes críticas por parte de medios musicales como Mondo Sonoro y Radio 3 y que ha tenido una gira de más de 100 conciertos con 60 SOLD OUTS, la banda, en su momento más dulce, nos presenta una canción que es un himno pop/rock llena de energía festivalera y nostalgia de los 80 con influencias de bandas como The Police, Coldplay o Supersubmarina.. Además, Coldplay (banda por la que Siloé nació y una de sus grandes influencias) recomendó en su instagram la música de la banda, convirtiéndose en una noticia viral a nivel mundial. El single va a ser promovido en redes sociales y prensa nacional e internacional, de la mano de LA TRINCHERA, ONERPM y THE MUSIC REPUBLIC, con una campaña de marketing en ads de 5K euros",,https://www.dropbox.com/scl/fi/w0b0vkcfeqnkupi4ywizu/QUEDATE-ESTA-NOCHE-BBM-MASTER-9624.wav?rlkey=ijaqj6f5y1l35ckqjzhxa1ey2&st=8mq2zli3&dl=0,,Audience Insights,https://www.dropbox.com/scl/fo/qaw42cxlcn7703awjs753/AAplXTxabcmKiGdh-P59reM?rlkey=wm4sbdh8pv0vbtmdcydtb0piv&st=yajlrmao&dl=0,"LISTAS DE PARA PITCH DE SPOTIFY DONDE PODRÍA ENTRAR: Todo Indie, Novedades Indie, This is Siloé, Novedades Viernes España, Nuevo indie, Radar indie, Rock Español, Canta en el coche"
super,High,Jan 16,Yellowcard,Bedroom Posters (feat. Good Charlotte),Single,"rock, punk pop",,,Better Noise ,,spotify:album:2DQT3oVHtQJleYR3yXA4cY,USDPK2500239,1861905581,810202535206,"Esta versión recargada de “Bedroom Posters” reúne a Yellowcard con Good Charlotte en un momento de pop-punk de alto impacto que combina la nostalgia de principios de los 2000 con un enfoque fresco y moderno. Pensada para fans que crecieron con los himnos del Warped Tour pero siguen buscando nueva energía, esta canción —que apareció originalmente en Better Days (el esperado regreso discográfico de YC en 2024)— ofrece ganchos inmediatos, coros coreables y un atractivo multigeneracional, lo que la convierte en una propuesta ideal para playlists editoriales de pop-punk, alt-rock y throwback-meets-new.","This re-fuled version of “Bedroom Posters” finds Yellowcard teaming up with Good Charlotte for a high-impact pop-punk moment that blends early-2000s nostalgia with a fresh, modern edge. Built for fans who grew up on Warped Tour anthems but still crave new energy, the track wich appeared first in Better Days (the long awaited record return for YC in 2024) manages to deliver instant hooks, sing-along choruses, and cross-generational appeal—making it a strong fit for pop-punk, alt-rock, and throwback-meets-new editorial playlists.",https://www.dropbox.com/scl/fi/cdg6u100eiwve2zgl42wy/Bedroom-Posters-feat.-Good-Charlotte-_AH-4-main_mastered-24b-48k.wav?rlkey=jfl5qr0sqw1vavcy0425lznol&st=1592dt16&dl=0,,,,
,High,Jan 16,Sleaford Mods,The Demise of Planet X,Album,post rock,,,Rough Trade,Beggars,spotify:track:2p9VQReMQ1yHLMEdH3KrWc,GBCVZ2500197,1842410157,191402060362,"Impulsada por sintetizadores brillantes y beats insistentes, Elitist G.O.A.T. funciona como una banda sonora agridulce de la vida moderna. Extraída del nuevo álbum de Sleaford Mods, esta joya melódica combina la angustia del siglo XXI, la fanfarronería social, referencias a los Daleks y la voz etérea y liviana como una nube de la incomparable Aldous Harding.","Pulsing with chiming synths and propulsive beats, Elitist G.O.A.T. is a bittersweet soundtrack to modern life. Taken from Sleaford Mods' new album, this melodic gem mixes 21st-century angst, social bravado, Daleks and light-as-a-cloud vocals from the incomparable Aldous Harding. “Aldous is brilliant on this, and Andrew Fearne’s ticking beat pulls you,” says Jason Williamson, which, combined with his own sandpaper rap, delivers elite-level electro pop and one of Sleaford Mods’ own G.O.A.Ts.","https://www.promojukebox.com/PEMDL80758257-P73KRL9DQGPVYARV-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
super,High,Jan 16,Mitski,Where’s My Phone,Single,"Alternative, singer songwriter",Feb 27,-,Dead Oceans,Secretly Canadian,NA,,1860622550,617308025859,"El sencillo principal “Where’s My Phone?” (disponible el 16 de enero) adelanta el nuevo álbum de Mitski, Nothing’s About to Happen to Me, que verá la luz el 27 de febrero.
La aclamada cantautora anuncia su esperado nuevo disco con una introducción enérgica que condensa el espíritu del álbum, combinando un caos ligero con humor irónico. Arreglos de cuerdas que irrumpen en oleadas envolventes se entrelazan con guitarras eléctricas que remiten a la Mitski de sus primeros trabajos, mientras su voz segura y potente da vida a letras oscuras y contundentes.","The lead single, 'Where’s My Phone?' (out January 16th), previews Mitski’s new album, Nothing’s About to Happen to Me, set for release on February 27th. The acclaimed singer-songwriter announces her highly anticipated record with an energetic introduction that encapsulates the album’s spirit, blending light chaos with wry humor. Sweeping string arrangements that break in immersive waves intertwine with electric guitars reminiscent of Mitski’s early work, while her confident, powerhouse vocals bring dark and punchy lyrics to life.",TBD,,,,
,Med,Jan 16,Jon Hopkins ,Wilding (Original Soundtrack),Single,"Electronic, Ambient",,-,Domino,,spotify:track:2CyPdKPMt0xgNxFMHM3OOA,GBCEL2500626,1860950218,192152001261,"En 2023, Jon Hopkins, junto al compositor islandés Biggi Hilmars, creó la banda sonora del aclamado documental Wilding. La película sigue la historia de los agricultores Isabella Tree y su esposo Charlie Burrell, quienes iniciaron un proyecto ambiental para devolverle la vida a la finca Knepp, de 400 años de antigüedad, en el sureste de Inglaterra. Al derribar cercas, devolvieron la tierra a su estado salvaje y confiaron su recuperación a una mezcla diversa de animales domésticos y silvestres.","In 2023 Jon Hopkins alongside Icelandic film composer Biggi Hilmars scored the soundtrack for acclaimed documentary, Wilding.  The documentary follows the story of farmers Isabella Tree and her husband Charlie Burrell who embarked on an environmental project which aimed to breathe new life into the failing 400-year-old Knepp Estate in the Southeast England. Ripping down the fences, they set the land back to the wild and entrusted its recovery to a motley mix of animals both tame and wild. ",https://delivery.dominomusic.com/8b2e4009ae2137a18e,,,,
